station_id,name,lat,lng,address,operator_id,location
BNBN0292,"천안 용소초등학교",36.78908540,127.13584640,"충남 천안시 동남구 일봉로 82-18 (용곡동, 천안용소초등학교)",BN,...
BNBN0293,"아산 신광초등학교",36.78888890,126.96941390,"충남 아산시 서부북로 993 (배미동, 신광초등학교)",BN,...
BNBN0294,"아산 온양용화중학교",36.77460430,127.00658800,"충남 아산시 어의정로 101 (온천동, 온양용화중학교)",BN,...
BNBN0295,"천안 용곡중학교",36.78946950,127.13333200,"충남 천안시 동남구 새말1길 51-14 (용곡동, 천안용곡중학교)",BN,...
BNBN0296,"천안 버들유치원",36.81903520,127.10562120,"충남 천안시 서북구 불당23로 41 (불당동, 천안버들유치원)",BN,...
BNBN0297,"서산 서산교육지원청",36.78704690,126.44324580,"충남 서산시 문화로 112 (읍내동, 서산교육청)",BN,...
BNBN0298,"서산 충남교육청 서부평생교육원",36.76968280,126.46455280,"충남 서산시 동서1로 41-4 (석림동, 서부평생학습관)",BN,...
BNBN0300,"전남 순천 매안초등학교",34.93064410,127.55246720,"전남 순천시 해룡면 좌야로 16 (신대리, 매안초등학교)",BN,...
BNBN0301,"전남 순천 복성고등학교",34.94656000,127.54434040,"전남 순천시 해룡면 복성길 17 (복성리, 복성고등학교)",BN,...
BNBN0304,"전남 순천 효천고등학교",34.90366990,127.48540890,"전남 순천시 녹색로 1360 (대룡동, 효천고등학교)",BN,...
BNBN0305,"전남 순천 삼산중학교",34.93403800,127.55618200,"전라남도 순천시 해룡면 매안로 84",BN,...
BNBN0306,"서산 성봉학교",36.83372690,126.50028610,"충남 서산시 성연면 명천1길 181-16 (명천리, 서산성봉학교)",BN,...
BNBN0307,"아산 배방고등학교",36.76906590,127.06648730,"충청남도 아산시 배방읍 배방산길359번길 61",BN,...
BNBN0308,건양고등학교,36.14132330,127.23312290,"충청남도 논산시 양촌면 황산벌로 486-21",BN,...
BNBN0309,"서산 대철중학교",36.80436840,126.57867000,"충남 서산시 운산면 해운로 1111 (갈산리, 대철중학교)",BN,...
